fileName	target
0002f1cd968ca78ada9e1c7037224773	MA_CH
0003747ec9268461d4cbb9e1b86e9663	FE_AD
0003b32f378b001f0f73bf0981da8773	MA_CH
0004ab975bf8b59e1b19f2b7b6d1548b	MA_CH
0005678b57ca265a65f8ef0cc7481277	MA_AD
00068ee0420a8dac9f7b51b1783b7f4b	FE_EL
0007a9416dd92cc01275be7e3aac6f9f	FE_CH
000841455294bab27f3ecc5e8829f2df	MA_AD
000ad3f1ea1fb1eafa92d9fa818c5122	MA_AD
000b1bbde96b2c541ee1721dfdda6d7a	FE_CH
000b8243712b57d4fc4271c81d892626	MA_EL
0011341e6f67d414ee4d89e5b89d4ce4	MA_EL
00132520eb8dd5b762a166057bc4b95c	FE_AD
00139df859eea45cd320e35decbc45bb	FE_AD
0014c95c49708dd424599d5f89bd717e	MA_EL
0016cccd5171b0d2b6f5544ef64cb5db	MA_AD
0018108eb0604ccc8586ff15565459df	MA_AD
0018fd754d466ccbba22ba13969213d6	MA_AD
001a9e815b54d441702d6874aafb3f2e	FE_EL
001b438e05312021ec75894759df4640	FE_EL
001da2d736292ff13288fc3bda662634	FE_EL
001fcb2de0a6a283d0fb03a38e5d86bf	MA_CH
00241f07e79e2f30a53021bb58db6a9e	MA_AD
002ae036c36956732808f1145f0cf030	FE_AD
002af3873f8d66bdb8696c68e904ffb9	MA_AD
002c2492be0e37205daddec4de7b5e83	FE_EL
002c850eb94382eef4348fcfac74586b	FE_AD
002e20cb94d61f7417e85aeaea7724a3	MA_CH
002e34f700f6ee815537fd6009249b4c	MA_CH
002ea6f32fdfd123ce2b02fc363b5ece	FE_CH
002f856c6b33d045bfdae667d8565730	FE_CH
0030dd096bf9a8c274e1fd914e6698b6	MA_AD
00375b9e67899ef2b5387d43a78eb370	FE_EL
003c16ac7453ef48b77c556b48fcc06a	MA_AD
004037fdf3a52dfbcf3d014b546b1cb6	MA_EL
0041c640e6966e5490f657474f23fa5f	FE_CH
0044381ff26240ab45bb475786c2cf05	MA_CH
0046a9e42a42775a63c5ec8128e5046b	MA_EL
0047d460bb06d69ef8d81ffac6384b43	FE_EL
004c06844974de25bb4fcbcb03bffd0d	FE_EL
004de145df6414bf80a3ce2d08f15be7	FE_EL
004fb91ceefc998ec34cdaf95124c7ef	FE_CH
00513335a72a41e44c8372041cca567a	FE_CH
0053fd0d8834bdd4c12f271f25c4e5e8	MA_EL
00543abed48075be71f449d83ed8cd92	MA_AD
00549cd678683b3e575c2756f7cea253	FE_AD
00571c7c2789e6253a0f9531ba065c57	FE_AD
00579da7eb8d82683f3bdafecab91ae7	FE_EL
0057fbe8fd81073e5dd97c4be0275405	FE_CH
00580dfe6af1a44a224379bd2bae2fb7	MA_AD
005810f64dab27f23043fbcdb873e5bc	MA_CH
00593eeaa51c2d574f0efd790955b8c3	FE_AD
005993a07cea30c84d8bb5913b0f1902	MA_CH
005de6835ec3d9caca30cdc0990045da	FE_CH
005f33aa57de8384b78c0e66954158c4	FE_AD
00604468f6dd2e7e3d9f96716311b966	FE_CH
00608eee17ebf67e7004665da0ba4d7e	MA_CH
006a64e977b846e31b3f85c234b8496c	MA_AD
006bd1dc5904894422e9d031f4c54786	FE_AD
006d1f710746d0cd7a6db8405bec191c	MA_CH
006e24241d4e32b37d6665cbbe8aa2ec	MA_AD
006eabcffbd5abe195c59d2b3c83f200	MA_CH
006fdf2f4217e56d5812c10bcf280331	FE_CH
007600c81dc2ff281ad363214c09548f	FE_EL
00764e7d4008553f5e47aafe54b0235e	FE_EL
00771268b5f94fc2b6df757efd4b5e3e	MA_CH
0077aaba820187f2a36e1bbf8289985f	MA_AD
0077afcd9137c247336bd061740164f7	FE_CH
0078c6d0fc019021de182a92d2a0216a	MA_CH
007995ec921d51c9eac12341877b7b64	FE_EL
007c7053b2ab16dce9d111b374002ce0	MA_AD
007cd72e8e8d342e40b42145c4f320f4	MA_EL
007e630b6a8946e0db1d86a1af8a0b0b	FE_AD
007f6428c69e36a7178de7fef79497ff	MA_AD
00815ce6fc5f46f4207ad1794efcc63a	FE_CH
0081fa3c8538ab4b3e6d71d17d8eb9d9	FE_AD
008404014a1153e64ac9f1b85405d8a9	MA_CH
0085e47f8256258206cbc57d115e1240	FE_CH
00890e4ad290b3e5067d2be3657058ff	MA_CH
0089321f6761fcf14b88de6ab6cabc74	FE_AD
00899588f3f620c06b778a08e1397fdd	FE_AD
008a070dcf36c959d8db8c4f5cb6c1c9	FE_AD
008e67667bd3d8303142a3bf5b6eed96	MA_EL
008ee5f4e0865d4495744306d7ba2a9f	MA_CH
008fdd56666da862c25d36b8d343ba16	MA_CH
00915e025b393eeea9024ab679049d9b	FE_CH
00953479ec79149f611d1507545074da	FE_CH
009718bfe6e70be297b14fb994ab514d	FE_EL
