0002f1cd968ca78ada9e1c7037224773,3.11
0003747ec9268461d4cbb9e1b86e9663,1.51
0003b32f378b001f0f73bf0981da8773,8.24
0004ab975bf8b59e1b19f2b7b6d1548b,2.32
0005678b57ca265a65f8ef0cc7481277,2.13
00068ee0420a8dac9f7b51b1783b7f4b,2.56
0007a9416dd92cc01275be7e3aac6f9f,1.51
000841455294bab27f3ecc5e8829f2df,0.79
000ad3f1ea1fb1eafa92d9fa818c5122,1.18
000b1bbde96b2c541ee1721dfdda6d7a,2.46
000b8243712b57d4fc4271c81d892626,2.65
0011341e6f67d414ee4d89e5b89d4ce4,3.63
00132520eb8dd5b762a166057bc4b95c,2.77
00139df859eea45cd320e35decbc45bb,3.38
0014c95c49708dd424599d5f89bd717e,3.44
0016cccd5171b0d2b6f5544ef64cb5db,2.36
0018108eb0604ccc8586ff15565459df,6.34
0018fd754d466ccbba22ba13969213d6,2.1
001a9e815b54d441702d6874aafb3f2e,6.34
001b438e05312021ec75894759df4640,1.35
001da2d736292ff13288fc3bda662634,2.29
001fcb2de0a6a283d0fb03a38e5d86bf,2.43
00241f07e79e2f30a53021bb58db6a9e,2.71
002ae036c36956732808f1145f0cf030,2.64
002af3873f8d66bdb8696c68e904ffb9,2.35
002c2492be0e37205daddec4de7b5e83,2.51
002c850eb94382eef4348fcfac74586b,2.42
002e20cb94d61f7417e85aeaea7724a3,2.46
002e34f700f6ee815537fd6009249b4c,3.08
002ea6f32fdfd123ce2b02fc363b5ece,2.19
002f856c6b33d045bfdae667d8565730,1.44
0030dd096bf9a8c274e1fd914e6698b6,3.53
00375b9e67899ef2b5387d43a78eb370,11.54
003c16ac7453ef48b77c556b48fcc06a,3.27
004037fdf3a52dfbcf3d014b546b1cb6,4.15
0041c640e6966e5490f657474f23fa5f,3.64
0044381ff26240ab45bb475786c2cf05,1.32
0046a9e42a42775a63c5ec8128e5046b,2.36
0047d460bb06d69ef8d81ffac6384b43,3.13
004c06844974de25bb4fcbcb03bffd0d,3.15
004de145df6414bf80a3ce2d08f15be7,2.18
004fb91ceefc998ec34cdaf95124c7ef,4.28
00513335a72a41e44c8372041cca567a,2.64
0053fd0d8834bdd4c12f271f25c4e5e8,1.88
00543abed48075be71f449d83ed8cd92,2.04
00549cd678683b3e575c2756f7cea253,0.92
00571c7c2789e6253a0f9531ba065c57,2.18
00579da7eb8d82683f3bdafecab91ae7,2.78
